timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666543002740,619,Get Users,200,OK,stress 1-1,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,619,0,472
1666543003358,135,Delete User,200,OK,stress 1-1,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,135,0,0
1666543003493,141,Get User by ID,200,OK,stress 1-1,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,141,0,0
1666543004739,549,Get Users,200,OK,stress 1-2,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,549,0,411
1666543005289,129,Delete User,200,OK,stress 1-2,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,129,0,0
1666543005419,127,Get User by ID,200,OK,stress 1-2,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,127,0,0
1666543006740,584,Get Users,200,OK,stress 1-3,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,584,0,405
1666543007324,125,Delete User,200,OK,stress 1-3,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,125,0,0
1666543007449,126,Get User by ID,200,OK,stress 1-3,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,126,0,0
1666543008739,543,Get Users,200,OK,stress 1-4,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,543,0,405
1666543009282,129,Delete User,200,OK,stress 1-4,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,129,0,0
1666543009411,128,Get User by ID,200,OK,stress 1-4,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,128,0,0
1666543010742,562,Get Users,200,OK,stress 1-5,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,562,0,424
1666543011304,135,Delete User,200,OK,stress 1-5,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,135,0,0
1666543011440,124,Get User by ID,200,OK,stress 1-5,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,124,0,0
1666543012739,578,Get Users,200,OK,stress 1-6,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,578,0,423
1666543013318,135,Delete User,200,OK,stress 1-6,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,135,0,0
1666543013453,130,Get User by ID,200,OK,stress 1-6,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,130,0,0
1666543014743,573,Get Users,200,OK,stress 1-7,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,573,0,423
1666543015316,131,Delete User,200,OK,stress 1-7,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,131,0,0
1666543015447,131,Get User by ID,200,OK,stress 1-7,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,131,0,0
1666543016743,578,Get Users,200,OK,stress 1-8,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,578,0,429
1666543017323,135,Delete User,200,OK,stress 1-8,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,135,0,0
1666543017458,150,Get User by ID,200,OK,stress 1-8,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,150,0,0
1666543018739,558,Get Users,200,OK,stress 1-9,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,558,0,415
1666543019298,131,Delete User,200,OK,stress 1-9,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,131,0,0
1666543019430,130,Get User by ID,200,OK,stress 1-9,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,130,0,0
1666543020746,567,Get Users,200,OK,stress 1-10,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,567,0,428
1666543021314,133,Delete User,200,OK,stress 1-10,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,133,0,0
1666543021447,130,Get User by ID,200,OK,stress 1-10,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,130,0,0
1666543022737,546,Get Users,200,OK,stress 1-11,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,546,0,406
1666543023283,128,Delete User,200,OK,stress 1-11,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,128,0,0
1666543023411,127,Get User by ID,200,OK,stress 1-11,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,127,0,0
1666543024756,631,Get Users,200,OK,stress 1-12,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,631,0,427
1666543025387,128,Delete User,200,OK,stress 1-12,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,128,0,0
1666543025516,130,Get User by ID,200,OK,stress 1-12,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,130,0,0
1666543026738,589,Get Users,200,OK,stress 1-13,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,589,0,448
1666543027328,137,Delete User,200,OK,stress 1-13,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,137,0,0
1666543027465,134,Get User by ID,200,OK,stress 1-13,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,134,0,0
1666543028737,549,Get Users,200,OK,stress 1-14,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,549,0,406
1666543029286,133,Delete User,200,OK,stress 1-14,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,133,0,0
1666543029419,126,Get User by ID,200,OK,stress 1-14,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,126,0,0
1666543030740,701,Get Users,200,OK,stress 1-15,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,701,0,558
1666543031441,130,Delete User,200,OK,stress 1-15,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,130,0,0
1666543031571,131,Get User by ID,200,OK,stress 1-15,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,131,0,0
1666543032739,564,Get Users,200,OK,stress 1-16,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,564,0,430
1666543033304,128,Delete User,200,OK,stress 1-16,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,128,0,0
1666543033432,127,Get User by ID,200,OK,stress 1-16,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,127,0,0
1666543034738,597,Get Users,200,OK,stress 1-17,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,597,0,457
1666543035336,130,Delete User,200,OK,stress 1-17,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,130,0,0
1666543035467,130,Get User by ID,200,OK,stress 1-17,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,130,0,0
1666543036743,566,Get Users,200,OK,stress 1-18,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,566,0,428
1666543037309,127,Delete User,200,OK,stress 1-18,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,127,0,0
1666543037437,129,Get User by ID,200,OK,stress 1-18,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,129,0,0
1666543038738,557,Get Users,200,OK,stress 1-19,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,557,0,418
1666543039295,131,Delete User,200,OK,stress 1-19,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,131,0,0
1666543039426,133,Get User by ID,200,OK,stress 1-19,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,133,0,0
1666543040749,554,Get Users,200,OK,stress 1-20,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,554,0,415
1666543041303,127,Delete User,200,OK,stress 1-20,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,127,0,0
1666543041431,128,Get User by ID,200,OK,stress 1-20,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,128,0,0
1666543042750,576,Get Users,200,OK,stress 1-21,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,576,0,422
1666543043326,139,Delete User,200,OK,stress 1-21,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,139,0,0
1666543043465,132,Get User by ID,200,OK,stress 1-21,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,132,0,0
1666543044748,552,Get Users,200,OK,stress 1-22,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,552,0,411
1666543045301,132,Delete User,200,OK,stress 1-22,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,132,0,0
1666543045433,130,Get User by ID,200,OK,stress 1-22,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,130,0,0
1666543046746,537,Get Users,200,OK,stress 1-23,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,537,0,404
1666543047284,127,Delete User,200,OK,stress 1-23,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,126,0,0
1666543047411,126,Get User by ID,200,OK,stress 1-23,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,126,0,0
1666543048735,579,Get Users,200,OK,stress 1-24,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,579,0,430
1666543049315,138,Delete User,200,OK,stress 1-24,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,138,0,0
1666543049453,139,Get User by ID,200,OK,stress 1-24,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,139,0,0
1666543050737,592,Get Users,200,OK,stress 1-25,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,592,0,447
1666543051330,137,Delete User,200,OK,stress 1-25,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,137,0,0
1666543051481,134,Get User by ID,200,OK,stress 1-25,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,134,0,0
1666543052747,572,Get Users,200,OK,stress 1-26,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,572,0,435
1666543053321,130,Delete User,200,OK,stress 1-26,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,130,0,0
1666543053451,138,Get User by ID,200,OK,stress 1-26,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,138,0,0
1666543054737,536,Get Users,200,OK,stress 1-27,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,536,0,402
1666543055273,127,Delete User,200,OK,stress 1-27,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,127,0,0
1666543055400,128,Get User by ID,200,OK,stress 1-27,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,128,0,0
1666543056739,583,Get Users,200,OK,stress 1-28,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,583,0,437
1666543057322,135,Delete User,200,OK,stress 1-28,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,135,0,0
1666543057458,131,Get User by ID,200,OK,stress 1-28,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,131,0,0
1666543058737,561,Get Users,200,OK,stress 1-29,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,561,0,417
1666543059299,133,Delete User,200,OK,stress 1-29,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,133,0,0
1666543059432,128,Get User by ID,200,OK,stress 1-29,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,128,0,0
1666543060740,561,Get Users,200,OK,stress 1-30,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,561,0,417
1666543061302,130,Delete User,200,OK,stress 1-30,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,130,0,0
1666543061433,131,Get User by ID,200,OK,stress 1-30,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,131,0,0
